mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	4	4/4	1	0	3	firstMeasure					2
2	2	4	2/4	1/2	0	3						3
3	3	4	4/4	1	0	3						4
4	4	4	4/4	1	0	3						5
5	5	4	4/4	1	0	4						6
6	6	4	4/4	1	0	4						7
7	7	4	4/4	1	0	3						8
8	8	4	2/4	1/2	0	3						9
9	9	4	4/4	1	0	3						10
10	10	4	4/4	1	0	3						11
11	11	4	4/4	1	0	3						12
12	12	4	4/4	1/4	0	3						13
13	13	4	4/4	1	1/4	3						14
14	14	4	4/4	1	0	3						15
15	15	4	4/4	1	0	4						16
16	16	4	4/4	1	0	3						17
17	17	4	2/4	1/2	0	3						18
18	18	4	4/4	17/16	0	3						19
19	19	4	4/4	1	0	3						20
20	20	4	4/4	1	0	3						21
21	21	4	4/4	1	0	3						22
22	22	4	4/4	1	0	4						23
23	23	4	4/4	1	0	4						24
24	24	4	4/4	1	0	3						25
25	25	4	4/4	1	0	3						26
26	26	4	4/4	1	0	3						27
27	27	4	4/4	1	0	3						28
28	28	4	4/4	1	0	3						29
29	29	4	4/4	1	0	3						30
30	30	4	4/4	1	0	3						31
31	31	4	4/4	1	0	4						32
32	32	4	4/4	1	0	4						33
33	33	4	4/4	1	0	4						34
34	34	4	4/4	1	0	3						35
35	35	4	4/4	1	0	4						36
36	36	4	4/4	1	0	4						37
37	37	4	4/4	3/2	0	4						38
38	38	4	4/4	1	0	4						39
39	39	4	4/4	1	0	4						40
40	40	4	4/4	1	0	5						41
41	41	4	4/4	1	0	4						42
42	42	4	4/4	1	0	5						43
43	43	4	4/4	1	0	5						44
44	44	4	4/4	1	0	5						45
45	45	4	4/4	1	0	5						46
46	46	4	4/4	1	0	5						47
47	47	4	4/4	1	0	5						48
48	48	4	4/4	1	0	3						49
49	49	4	2/4	1/2	0	3						50
50	50	4	4/4	1	0	4						51
51	51	4	4/4	1	0	3						52
52	52	4	4/4	1	0	3						53
53	53	4	4/4	1	0	3						54
54	54	4	2/4	1/2	0	3						55
55	55	4	3/4	3/4	0	3						56
56	56	4	4/4	1	0	3						57
57	57	4	2/4	1/2	0	3						58
58	58	4	2/4	1/2	0	3						59
59	59	4	3/4	3/4	0	3						60
60	60	4	4/4	1	0	5						61
61	61	4	4/4	1	0	5						62
62	62	4	4/4	1	0	4						63
63	63	4	2/4	1/2	0	4						64
64	64	4	4/4	1	0	4						65
65	65	4	4/4	1	0	4						66
66	66	4	4/4	1	0	4						67
67	67	4	2/4	1/2	0	3						68
68	68	4	4/4	1	0	3						69
69	69	4	4/4	1	0	3						70
70	70	4	4/4	1	0	4						71
71	71	4	4/4	1	0	4						72
72	72	4	4/4	1	0	3						73
73	73	4	4/4	7/4	0	3						74
74	74	4	4/4	15/8	0	3						75
75	75	4	4/4	3/8	0	3						76
76	76	4	4/4	1	3/8	3						77
77	77	4	4/4	1	0	3						78
78	78	4	4/4	1	0	4						79
79	79	4	4/4	1	0	4						80
80	80	4	4/4	1	0	4						81
81	81	4	4/4	1	0	3						82
82	82	4	4/4	1	0	3			other			83
83	83	4	4/4	1	0	4						84
84	84	4	4/4	1	0	6						85
85	85	4	4/4	1	0	5						86
86	86	4	4/4	1	0	5						87
87	87	4	2/4	1/2	0	4						88
88	88	4	4/4	1	0	3	lastMeasure		end			
